learning_rate,max_depth,best_iteration,val_auc
0.2,4,42,0.7053911988395347
0.05,4,129,0.7021559387696231
0.1,4,49,0.6991872475831497
0.1,8,19,0.6988410836474298
0.05,8,36,0.6975997270728058
0.2,6,13,0.696005551053043
0.1,6,20,0.6956784291348174
0.05,6,42,0.6955830496343787
0.2,8,8,0.6927173324896374
