cluster,size,delay_rate_old_label,delay_rate_new_label_v2
1,3727,0.6045076469009928,0.6055808961631339
2,227,0.6916299559471366,0.6916299559471366
3,8,0.5,0.5
4,38,0.5789473684210527,0.6052631578947368
