checkpoint_index,selected_lr,selected_depth,selected_n_estimators,val_auc,test_auc_individually_tuned,pooled_tuned_auc,per_checkpoint_inherited_config_auc
1,0.05,8,31,0.6836340736126408,0.7094600725840212,0.7132912610523345,0.7043710287668992
5,0.1,8,10,0.6861156403693217,0.7767837741384341,0.7865507004401683,0.7781764011421225
10,0.1,8,10,0.6846424177193551,0.8601131776165026,0.858641989067765,0.8613161584452728
