Project_ID,N,delay_rate,cross_project_auc,cross_project_f1,within_project_auc,within_project_f1,n_within_test,within_project_skipped,skip_reason,gap_auc_within_minus_cross,cross_beats_within
1,2472,0.5,0.7014104900451399,0.6631697264893218,0.6604070654224001,0.6257425742574257,494,False,,-0.04100342462273976,True
2,625,0.4992,0.6589354468747439,0.5439469320066335,0.9169254658385093,0.8421052631578947,125,False,,0.2579900189637654,False
3,5736,0.5,0.6667758403700527,0.5994822485207101,0.6943085224332914,0.7745876603543067,1147,False,,0.027532682063238778,False
4,5661,0.49991167638226464,0.7659662769464274,0.7093194059082748,0.6595572498662385,0.5181598062953995,1132,False,,-0.10640902708018884,True
5,665,0.4992481203007519,0.6499692463547886,0.6005830903790087,0.5102459016393444,0.43478260869565216,133,False,,-0.13972334471544423,True
6,281,0.498220640569395,0.596048632218845,0.617363344051447,0.6707070707070708,0.35555555555555557,56,False,,0.07465843848822584,False
7,989,0.4994944388270981,0.7174457121825544,0.6666666666666666,0.5642394988189381,0.4519774011299435,198,False,,-0.15320621336361628,True
8,3721,0.499865627519484,0.8987843280003236,0.814792899408284,0.6112391974837389,0.7184661957618567,744,False,,-0.2875451305165847,True
9,407,0.4987714987714988,0.7298367622911233,0.615819209039548,0.5707908163265305,0.48,81,False,,-0.15904594596459276,True
10,249,0.4979919678714859,0.777741935483871,0.7123287671232876,0.6089743589743589,0.5652173913043478,50,False,,-0.16876757650951213,True
11,2397,0.49979140592407173,0.6691274448239422,0.650187265917603,0.5708328887940539,0.4835680751173709,479,False,,-0.09829455602988824,True
12,12387,0.4999596351013159,0.7758573756104169,0.6852358451463152,0.6696578438586323,0.7308887507768801,2477,False,,-0.10619953175178465,True
13,3433,0.49985435479172735,0.7206457636713897,0.6799461641991925,0.65468509984639,0.6258692628650904,687,False,,-0.06596066382499965,True
14,6828,0.5,0.6665714747057929,0.6273661438615468,0.6625256257057346,0.683404776484997,1366,False,,-0.0040458490000583325,True
15,847,0.49940968122786306,0.6306704134885589,0.5781057810578106,0.6304409672830724,0.6494845360824743,169,False,,-0.0002294462054864832,True
16,2210,0.5,0.7175438668331935,0.69140625,0.6978358346471203,0.6330935251798561,442,False,,-0.0197080321860732,True
17,2720,0.5,0.7158623486159169,0.6664303438496987,0.5947832007148632,0.5311355311355311,544,False,,-0.12107914790105367,True
18,11113,0.4999550076486997,0.7509206893464718,0.6959879133792177,0.7135914850394243,0.7498252969951084,2223,False,,-0.03732920430704756,True
19,3179,0.4998427178357974,0.7718279365607104,0.72462110380326,0.6048542490118577,0.6757425742574258,636,False,,-0.16697368754885267,True
20,3962,0.5,0.7383492497249871,0.6913844834976425,0.6932468999098023,0.7215064420218038,792,False,,-0.045102349815184795,True
21,2015,0.4997518610421836,0.7233093543607446,0.680323963792282,0.6708807521029194,0.6451612903225806,403,False,,-0.052428602257825196,True
22,11854,0.5,0.7544011301781484,0.6936736105772926,0.6988871416475142,0.6066176470588235,2371,False,,-0.05551398853063416,True
23,739,0.4993234100135318,0.7310407968944554,0.6964064436183395,0.580625,0.3958333333333333,148,False,,-0.1504157968944555,True
24,10394,0.5,0.7181494193246358,0.583447959651536,0.6598098286575034,0.5639013452914798,2079,False,,-0.05833959066713246,True
25,1410,0.5,0.8423077309994468,0.7301414581066377,,,282,True,test split missing a class,,
26,1130,0.5,0.6611668885582269,0.646774193548387,0.501733921815889,0.5692883895131086,226,False,,-0.15943296674233787,True
27,1157,0.4995678478824546,0.6612910937005098,0.6464646464646465,0.7457412717152976,0.5990338164251208,231,False,,0.08445017801478782,False
28,19654,0.5,0.7651378101354926,0.7120686665510664,0.7634908886323044,0.5982142857142857,3931,False,,-0.0016469215031882367,True
29,764,0.5,0.7040856884405582,0.608433734939759,0.6261648745519715,0.5070422535211268,153,False,,-0.07792081388858674,True
30,917,0.4994547437295529,0.7261418880992476,0.657563025210084,0.722716049382716,0.631578947368421,183,False,,-0.0034258387165315707,True
31,1205,0.4995850622406639,0.7775987173765723,0.7035775127768313,0.7527020072053526,0.7006802721088435,241,False,,-0.024896710171219638,True
32,2347,0.4997869620792501,0.6818340253663127,0.6197552447552448,0.5286560181293176,0.4332493702770781,469,False,,-0.15317800723699504,True
33,29167,0.4999828573387733,0.7247002484576812,0.6495126705653022,0.7419719644517807,0.6741456679323438,5833,False,,0.01727171599409949,False
34,30709,0.499983718128236,0.7340157393512667,0.6786384182528212,0.7316494907886714,0.6598006644518273,6142,False,,-0.0023662485625953744,True
35,647,0.4992272024729521,0.6785919045980966,0.5892255892255892,0.5698067632850241,0.5254237288135594,129,False,,-0.10878514131307249,True
36,8099,0.4999382639832078,0.6651957349627555,0.5921243250362176,0.6182968372839579,0.628099173553719,1620,False,,-0.046898897678797624,True
42,3337,0.4998501648186994,0.6586774917992508,0.6090047393364929,0.5836056644880174,0.43052837573385516,667,False,,-0.07507182731123341,True
43,6015,0.4995843724023275,0.7322855042260684,0.6678874646246046,0.7228374182100477,0.7126269956458636,1203,False,,-0.009448086016020762,True
44,1848,0.5,0.7161808249470586,0.6788375558867362,0.6720077461269365,0.5781710914454278,370,False,,-0.044173078820122114,True
