Project_ID,N,delay_rate,cross_project_auc,cross_project_f1,within_project_auc,within_project_f1,n_within_test,within_project_skipped,skip_reason,gap_auc_within_minus_cross,cross_beats_within
1,2472,0.5,0.7014353641038531,0.6590214067278287,0.6604070654224001,0.6257425742574257,494,False,,-0.04102829868145297,True
2,625,0.4928,0.632031217993363,0.5392156862745098,0.9192546583850931,0.8181818181818182,125,False,,0.2872234403917301,False
3,5736,0.5177824267782427,0.6570595689359248,0.6000705965407696,0.6982554824978147,0.7881305637982196,1147,False,,0.041195913561889896,False
4,5661,0.4760642995937114,0.7484665416463894,0.6918011195258479,0.6466492071464447,0.47696476964769646,1132,False,,-0.10181733449994468,True
5,665,0.49473684210526314,0.6368685772181213,0.5792682926829268,0.5242009132420091,0.4424778761061947,133,False,,-0.11266766397611216,True
6,281,0.4306049822064057,0.5635330578512397,0.5056603773584906,0.5568513119533527,0.2222222222222222,56,False,,-0.006681745897887059,True
7,989,0.5075834175935288,0.7064595826141021,0.6788079470198676,0.5267489711934157,0.44808743169398907,198,False,,-0.17971061142068645,True
8,3721,0.499865627519484,0.8917690800991489,0.8116202455825098,0.6112391974837389,0.7184661957618567,744,False,,-0.28052988261541,True
9,407,0.4914004914004914,0.7150000000000001,0.5723076923076923,0.5624999999999999,0.4533333333333333,81,False,,-0.1525000000000002,True
10,249,0.5020080321285141,0.7823870967741935,0.7163120567375887,0.6266025641025641,0.5957446808510638,50,False,,-0.1557845326716294,True
11,2397,0.49353358364622446,0.6579243845749992,0.6363294471605867,0.6067593686245034,0.453781512605042,479,False,,-0.05116501595049583,True
12,12387,0.511584725922338,0.7751256101839257,0.6894628946289463,0.6649073911822053,0.7411658109332528,2477,False,,-0.11021821900172035,True
13,3433,0.5001456452082726,0.717826703484828,0.6859375,0.6572035996653063,0.6277777777777778,687,False,,-0.06062310381952174,True
14,6828,0.5013181019332161,0.6700400632672734,0.625,0.6655079410015516,0.68860450944546,1366,False,,-0.00453212226572175,True
15,847,0.49940968122786306,0.6283509523172309,0.540962288686606,0.6304409672830724,0.6494845360824743,169,False,,0.0020900149658414913,False
16,2210,0.5067873303167421,0.7112033093053736,0.669815371404036,0.6933158584534731,0.6261261261261262,442,False,,-0.017887450851900466,True
17,2720,0.4904411764705882,0.7184708511545093,0.6451851851851852,0.601997613093885,0.5413533834586466,544,False,,-0.11647323806062426,True
18,11113,0.49752542067848465,0.7495705762945158,0.6939087588140345,0.716119639794168,0.7565490743974852,2223,False,,-0.033450936500347805,True
19,3179,0.5234350424661843,0.7837988306042143,0.7244377811094452,0.612948942200886,0.7164527421236873,636,False,,-0.17084988840332826,True
20,3962,0.5068147400302877,0.7461031003926974,0.7049574142825945,0.6837121771217711,0.7398843930635838,792,False,,-0.062390923270926324,True
21,2015,0.49181141439205955,0.7342439376261352,0.6801980198019802,0.6690760059612517,0.6172248803827751,403,False,,-0.06516793166488344,True
22,11854,0.5043023451999326,0.7508285713374726,0.6961597542242703,0.6925472646163745,0.6042902784116841,2371,False,,-0.0582813067210981,True
23,739,0.2855209742895805,0.7261866293264397,0.5169628432956381,0.711388003477253,0.21621621621621623,148,False,,-0.014798625849186786,True
24,10394,0.4531460457956513,0.716936691215032,0.5735204392922514,0.6546232324135598,0.5155844155844156,2079,False,,-0.06231345880147221,True
25,1410,0.2602836879432624,0.7416264130142299,0.469553450608931,,,282,True,test split missing a class,,
26,1130,0.5309734513274337,0.6508836477987421,0.6286644951140065,0.5069927275633341,0.6219081272084805,226,False,,-0.14389092023540795,True
27,1157,0.4641313742437338,0.6604463266654652,0.6342229199372057,0.7259094942324755,0.5670103092783505,231,False,,0.06546316756701032,False
28,19654,0.45385163325531697,0.7671382727530223,0.681023116814626,0.773085643245069,0.5591200733272227,3931,False,,0.005947370492046744,False
29,764,0.49607329842931935,0.6858376452043998,0.5687203791469194,0.6154121863799283,0.5070422535211268,153,False,,-0.07042545882447149,True
30,917,0.31624863685932386,0.724143430677006,0.5579617834394904,0.8199931295087599,0.5576923076923077,183,False,,0.09584969883175387,False
31,1205,0.541908713692946,0.7752097343365072,0.7036734693877551,0.7392123610325986,0.7421383647798742,241,False,,-0.03599737330390862,True
32,2347,0.5083084789092458,0.6910966774701066,0.6108512628624883,0.5511674940246369,0.47115384615384615,469,False,,-0.13992918344546967,True
33,29167,0.5118112935852162,0.7300569149973575,0.6578215731127925,0.7438783004145159,0.6878024361755382,5833,False,,0.013821385417158383,False
34,30709,0.505910319450324,0.7318427681956872,0.6742678151918559,0.7319156825194169,0.6627642276422764,6142,False,,7.29143237296892e-05,False
35,647,0.5115919629057187,0.6783720218746414,0.5906735751295337,0.5784600389863548,0.5846153846153846,129,False,,-0.09991198288828662,True
36,8099,0.4998147919496234,0.6616640794299559,0.5917252146760343,0.6187616326883953,0.6284454244762955,1620,False,,-0.04290244674156052,True
42,3337,0.4998501648186994,0.6478300882361816,0.5822784810126582,0.5836056644880174,0.43052837573385516,667,False,,-0.06422442374816417,True
43,6015,0.5208645054031588,0.7235355629768223,0.6526387239097234,0.7223009461751317,0.7219512195121951,1203,False,,-0.001234616801690569,True
44,1848,0.46374458874458874,0.7106908500895457,0.6402416006040015,0.6668658103488333,0.5063291139240507,370,False,,-0.04382503974071239,True
