learning_rate,max_depth,best_iteration,val_auc
0.1,8,11,0.7046857997472707
0.2,8,4,0.7040993467185783
0.05,8,26,0.7037359879340443
0.1,6,11,0.7027526539001754
0.2,6,5,0.6994950733833154
0.1,4,20,0.699370402307575
0.05,6,28,0.6989883502988725
0.05,4,32,0.6967291063252301
0.2,4,7,0.6956005565390458
